id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
5114,Fullmetal Alchemist: Brotherhood,1846307,finished_airing,tv,64,9.14,manga,2897486,3,202552,r,2009,spring,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",['Bones']
11061,Hunter x Hunter (2011),1488156,finished_airing,tv,148,9.05,manga,2387337,10,182740,pg_13,2011,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']","['Madhouse', 'Studio Live']"
9253,Steins;Gate,1240087,finished_airing,tv,24,9.08,visual_novel,2248209,13,171579,pg_13,2011,spring,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",['White Fox']
21,One Piece,1076776,currently_airing,tv,,8.65,manga,1893379,26,167571,pg_13,1999,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Toei Animation']
1535,Death Note,2426765,finished_airing,tv,37,8.62,manga,3421349,2,155891,r,2006,fall,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",['Madhouse']
16498,Shingeki no Kyojin,2459371,finished_airing,tv,25,8.53,manga,3438932,1,152655,r,2013,spring,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']",['Wit Studio']
1575,Code Geass: Hangyaku no Lelouch,1255301,finished_airing,tv,25,8.7,original,1995638,17,99388,r,2006,fall,"['Action', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",['Sunrise']
1735,Naruto: Shippuuden,1427961,finished_airing,tv,500,8.24,manga,2126396,16,97728,pg_13,2007,winter,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",['Pierrot']
30,Neon Genesis Evangelion,929469,finished_airing,tv,26,8.34,original,1559217,48,91211,pg_13,1995,fall,"['Action', 'Avant Garde', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'Tatsunoko Production']"
32281,Kimi no Na wa.,1657208,finished_airing,movie,1,8.87,original,2367090,11,81809,pg_13,2016,summer,"['Drama', 'Romantic Subtext', 'Supernatural']",['CoMix Wave Films']
38000,Kimetsu no Yaiba,1702055,finished_airing,tv,26,8.55,manga,2451636,9,80819,r,2019,spring,"['Action', 'Fantasy', 'Historical', 'Shounen']",['ufotable']
23273,Shigatsu wa Kimi no Uso,1195488,finished_airing,tv,22,8.66,manga,1943194,21,79282,pg_13,2014,fall,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",['A-1 Pictures']
28851,Koe no Katachi,1379970,finished_airing,movie,1,8.95,manga,1976332,19,76481,pg_13,2016,summer,"['Drama', 'Romantic Subtext', 'Shounen']",['Kyoto Animation']
2001,Tengen Toppa Gurren Lagann,820158,finished_airing,tv,27,8.63,original,1450899,59,72095,pg_13,2007,spring,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",['Gainax']
1,Cowboy Bebop,835165,finished_airing,tv,26,8.76,original,1621631,42,72020,r,1998,spring,"['Action', 'Adult Cast', 'Sci-Fi', 'Space']",['Sunrise']
2904,Code Geass: Hangyaku no Lelouch R2,1069943,finished_airing,tv,25,8.91,original,1573513,47,70819,r,2008,spring,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",['Sunrise']
40748,Jujutsu Kaisen (TV),1218169,finished_airing,tv,24,8.68,manga,1879802,27,70624,r,2020,fall,"['Action', 'Fantasy', 'School', 'Shounen']",['MAPPA']
20,Naruto,1739950,finished_airing,tv,220,7.97,manga,2493784,8,70081,pg_13,2002,fall,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",['Pierrot']
20583,Haikyuu!!,1067776,finished_airing,tv,25,8.45,manga,1703053,38,66540,pg_13,2014,spring,"['School', 'Shounen', 'Sports', 'Team Sports']",['Production I.G']
4181,Clannad: After Story,609997,finished_airing,tv,24,8.94,visual_novel,1082960,106,66472,pg_13,2008,fall,"['Drama', 'Romance', 'Supernatural']",['Kyoto Animation']
11757,Sword Art Online,1953941,finished_airing,tv,25,7.2,light_novel,2759746,5,64119,pg_13,2012,summer,"['Action', 'Adventure', 'Fantasy', 'Love Polygon', 'Romance', 'Video Game']",['A-1 Pictures']
31240,Re:Zero kara Hajimeru Isekai Seikatsu,1252559,finished_airing,tv,25,8.25,light_novel,1930743,23,61244,r,2016,spring,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",['White Fox']
269,Bleach,969544,finished_airing,tv,366,7.86,manga,1660575,40,59780,pg_13,2004,fall,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Pierrot']
30276,One Punch Man,1968535,finished_airing,tv,12,8.51,web_manga,2808004,4,58054,r,2015,fall,"['Action', 'Comedy', 'Parody', 'Seinen', 'Super Power']",['Madhouse']
918,Gintama,357641,finished_airing,tv,201,8.95,manga,947121,129,54692,pg_13,2006,spring,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise']
4224,Toradora!,1247610,finished_airing,tv,25,8.11,light_novel,1981359,18,53283,pg_13,2008,fall,"['Drama', 'Love Polygon', 'Romance', 'School']",['J.C.Staff']
31964,Boku no Hero Academia,1825944,finished_airing,tv,13,7.94,manga,2642758,6,51742,pg_13,2016,spring,"['Action', 'School', 'Shounen', 'Super Power']",['Bones']
33352,Violet Evergarden,822739,finished_airing,tv,13,8.67,light_novel,1512697,51,51653,pg_13,2018,winter,"['Drama', 'Fantasy', 'Slice of Life']",['Kyoto Animation']
38524,Shingeki no Kyojin Season 3 Part 2,1307575,finished_airing,tv,10,9.07,manga,1851743,28,51318,r,2019,spring,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']",['Wit Studio']
40028,Shingeki no Kyojin: The Final Season,1059076,finished_airing,tv,16,8.84,manga,1600737,44,49971,r,2021,winter,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']",['MAPPA']
